merge_kecamatan,Latitude,Longitude
"Kasihan,Bantul,D I Yogyakarta",-7.814615,110.3166565
"Gunung Pati,Semarang,Jawa Tengah",-7.0659645,110.372671
"Kramat,Tegal,Jawa Tengah",-6.8816,109.193094
"Poncokusumo,Malang,Jawa Timur",-8.032008,112.822931
"Padang,Lumajang,Jawa Timur",-8.0953539,113.176912
"Singojuruh,Banyuwangi,Jawa Timur",-8.300815,114.231375
"Muncar,Banyuwangi,Jawa Timur",-8.4466424,114.3185635
"Pajarakan,Probolinggo,Jawa Timur",-7.7798115,113.3710629
"Wungu,Madiun,Jawa Timur",-7.65866,111.588869
"Ngawi,Ngawi,Jawa Timur",-7.419105,111.4434499
"Mojoagung,Jombang,Jawa Timur",-7.586104,112.3554484
"Pademawu,Pamekasan,Jawa Timur",-7.1915485,113.516911
"Munjungan,Trenggalek,Jawa Timur",-8.3113276,111.5824185
"Plosoklaten,Kediri,Jawa Timur",-7.872903,112.1948249
"Siman,Ponorogo,Jawa Timur",-7.8920045,111.504842
"Waru,Sidoarjo,Jawa Timur",-7.3535775,112.7681935
"Lakarsantri,Surabaya,Jawa Timur",-7.3226695,112.6528805
"Dukun,Gresik,Jawa Timur",-6.983333,112.453883
"Cakranegara,Mataram,Nusa Tenggara Barat",-8.582684,116.1304029
"Sukawati,Gianyar,Bali",-8.583361,115.275546
"Kuta,Badung,Bali",-8.7263239,115.171533
"Gerung,Lombok Barat,Nusa Tenggara Barat",-8.6942789,116.1180974
"Tanjung Lubuk,Ogan Komering Ilir,Sumatera Selatan",-3.571028,104.7131989
"Mataram,Mataram,Nusa Tenggara Barat",-8.5901957,116.1165934
"Keruak,Lombok Timur,Nusa Tenggara Barat",-8.7636119,116.4862171
"Narmada,Lombok Barat,Nusa Tenggara Barat",-8.5178211,116.2465784
"Sumbawa,Sumbawa,Nusa Tenggara Barat",-8.6167469,117.585475
"Kopang,Lombok Tengah,Nusa Tenggara Barat",-8.6418318,116.3563
"Janapria,Lombok Tengah,Nusa Tenggara Barat",-8.708852,116.3916935
"Dompu,Dompu,Nusa Tenggara Barat",-8.4939135,118.4671381
"Sape,Bima,Nusa Tenggara Barat",-8.505854,119.0980315
"Panyipatan,Tanah Laut,Kalimantan Selatan",-4.03168,114.6955535
"Martapura,Banjar,Kalimantan Selatan",-3.4115979,114.8452
"Tanjung,Tabalong,Kalimantan Selatan",-2.0965044,115.3768139
"Banjarmasin Selatan,Banjarmasin,Kalimantan Selatan",-3.347964,114.586902
"Kahu,Bone,Sulawesi Selatan",-4.9684689,120.100397
"Hero Lange-Lange,Bulukumba,Sulawesi Selatan",-5.406243,120.3686225
"Lili Rilau,Soppeng,Sulawesi Selatan",-4.3320654,120.026178
"Pammana,Wajo,Sulawesi Selatan",-4.211053,120.097074
"Bilah Hulu,Labuhan Batu,Sumatera Utara",1.944,99.9336719
"Tambusai,Rokan Hulu,Riau",1.1026495,100.278747
"Siantar,Simalungun,Sumatera Utara",2.9392529,99.1029229
"Rimba Melintang,Rokan Hilir,Riau",1.7789004,101.015957
"Sidikalang,Dairi,Sumatera Utara",2.7435964,98.3147632
"Minas,S I A K,Riau",0.8037604,101.5028784
"Sumbul,Dairi,Sumatera Utara",2.7529279,98.4312205
"Munte,Karo,Sumatera Utara",3.0497971,98.370315
"Kabanjahe,Karo,Sumatera Utara",3.1119223,98.4909782
"Bangun Purba,Deli Serdang,Sumatera Utara",3.3712985,98.8122274
"Sinembah Tanjung Muda Hilir,Deli Serdang,Sumatera Utara",3.374879,98.715314
"Pandan,Tapanuli Tengah,Sumatera Utara",1.685053,98.840388
"Pinang Sori,Tapanuli Tengah,Sumatera Utara",1.5782705,98.896389
"Ulakan Tapakis,Padang Pariaman,Sumatera Barat",-0.7007009,100.2140605
"Iv Koto,Agam,Sumatera Barat",-0.3338515,100.3155465
"Ampek Angkek,Agam,Sumatera Barat",-0.2899385,100.4251993
"Baso,Agam,Sumatera Barat",-0.2805455,100.4859979
"Koto Tangah,Padang,Sumatera Barat",-0.9345836,100.3912699
"Batang Anai,Padang Pariaman,Sumatera Barat",-0.7597521,100.32117
"Salimpaung,Tanah Datar,Sumatera Barat",-0.344397,100.5430799
"Payakumbuh,Lima Puluh Kota,Sumatera Barat",-0.1730809,100.5876065
"Jati Uwung,Tangerang,Banten",-6.198745,106.573598
"Seberang Ulu Ii,Palembang,Sumatera Selatan",-3.001119,104.7857236
"Tanjung Pandan,Belitung,Kepulauan Bangka Belitung",-2.7428999,107.6202744
"Pangkal Balam,Pangkal Pinang,Kepulauan Bangka Belitung",-2.101032,106.127192
"Rangkui,Pangkal Pinang,Kepulauan Bangka Belitung",-2.1303431,106.109821
"Taman Sari,Pangkal Pinang,Kepulauan Bangka Belitung",-2.1212139,106.1142919
"Talang Padang,Tanggamus,Lampung",-5.3707229,104.7699075
"Padang Ratu,Lampung Tengah,Lampung",-5.0790534,104.969019
"Abung Selatan,Lampung Utara,Lampung",-4.9089755,104.921585
"Jati Agung,Lampung Selatan,Lampung",-5.289536,105.3612445
"Kebayoran Lama,Jakarta Selatan,Dki Jakarta",-6.249321,106.7803815
"Semanu,Gunung Kidul,D I Yogyakarta",-7.99901,110.644358
"Ciledug,Tangerang,Banten",-6.240094,106.704859
"Cilandak,Jakarta Selatan,Dki Jakarta",-6.2898024,106.7903519
"Limo,Depok,Jawa Barat",-6.3663035,106.7796109
"Bojong Gede,Bogor,Jawa Barat",-6.4769375,106.7880935
"Tebet,Jakarta Selatan,Dki Jakarta",-6.225523,106.850764
"Cibeber,Cianjur,Jawa Barat",-6.940809,107.1330784
"Bantargebang,Bekasi,Jawa Barat",-6.336217,106.9921284
"Matraman,Jakarta Timur,Dki Jakarta",-6.20383,106.8620266
"Pulo Gadung,Jakarta Timur,Dki Jakarta",-6.1907914,106.8916284
"Cakung,Jakarta Timur,Dki Jakarta",-6.1907914,106.8916284
"Klari,Karawang,Jawa Barat",-6.3959085,107.3790569
"Bekasi Utara,Bekasi,Jawa Barat",-6.2054535,107.006438
"Bekasi Barat,Bekasi,Jawa Barat",-6.231754,106.9629205
"Babelan,Bekasi,Jawa Barat",-6.1263046,107.0217935
"Way Jepara,Lampung Timur,Lampung",-5.2139099,105.6988905
"Cengkareng,Jakarta Barat,Dki Jakarta",-6.1548795,106.7379741
"Beji,Depok,Jawa Barat",-6.3723065,106.818092
"Setu,Bekasi,Jawa Barat",-6.358777,107.0348331
"Sawah Besar,Jakarta Pusat,Dki Jakarta",-6.1555405,106.8326644
"Cijeruk,Bogor,Jawa Barat",-6.681057,106.791227
